aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.032,-0.224,-0.23,-272.827,71.655,128.113,2.235,1.479,-0.632,252.197,129.028,-187.195
-0.355,-0.156,-0.616,-278.137,99.731,123.23,1.935,1.417,-1.068,257.507,130.371,-212.402
-0.604,-0.021,-1.094,-271.912,141.479,105.469,1.516,1.304,-1.573,265.015,129.211,-234.253
-0.614,0.095,-1.555,-249.329,187.988,80.933,1.044,1.026,-2.096,269.653,126.404,-250.488
-0.474,0.121,-1.835,-213.989,219.849,63.538,0.667,0.675,-2.413,255.554,118.103,-255.554
-0.301,0.019,-1.981,-176.27,219.055,58.777,0.406,0.425,-2.409,216.309,93.872,-254.822
-0.259,-0.044,-1.971,-143.555,188.904,62.378,0.186,0.423,-2.248,165.527,49.133,-253.113
-1.115,0.219,-2.142,-116.943,139.038,72.021,-0.193,0.437,-1.977,139.16,-7.202,-247.864
-0.339,-0.057,-1.896,-90.332,144.47,75.562,-0.636,0.292,-1.986,136.719,-47.363,-237.0
-0.982,0.042,-2.203,-73.73,134.277,21.545,-0.946,0.001,-2.134,139.038,-48.035,-222.412
-0.684,0.111,-2.231,-64.453,138.672,-4.639,-1.037,-0.254,-2.307,122.803,-18.555,-198.12
-0.536,0.162,-2.299,-64.636,122.986,-14.282,-0.916,-0.401,-2.347,88.379,10.986,-170.288
-0.435,0.199,-2.273,-55.847,109.558,-30.579,-0.807,-0.452,-2.218,51.147,17.029,-147.4
-0.435,0.146,-2.2,-43.701,81.97,-44.617,-0.725,-0.462,-2.042,26.428,-8.057,-128.54
-0.292,0.166,-2.02,-39.246,50.72,-53.955,-0.65,-0.478,-1.795,15.137,-45.105,-110.84
-0.208,0.141,-1.844,-33.447,11.414,-53.894,-0.566,-0.46,-1.526,11.047,-83.618,-92.712
-0.116,0.12,-1.584,-23.621,-23.865,-59.814,-0.503,-0.433,-1.289,9.46,-115.295,-76.599
-0.038,0.107,-1.35,-12.817,-48.706,-65.43,-0.491,-0.424,-1.089,9.399,-131.287,-66.345
0.017,0.083,-1.16,-3.418,-56.396,-63.477,-0.508,-0.489,-0.923,9.46,-127.991,-63.232
0.18,0.047,-0.985,10.864,-43.152,-59.631,-0.565,-0.626,-0.796,4.944,-108.948,-63.965
0.382,-0.013,-0.88,28.015,-21.973,-66.04,-0.618,-0.75,-0.72,-5.493,-76.782,-62.744
0.653,-0.094,-0.798,43.152,-4.883,-69.763,-0.555,-0.852,-0.67,-17.883,-35.522,-56.03
0.885,-0.172,-0.734,52.368,0.0,-68.909,-0.364,-0.918,-0.626,-24.292,0.916,-40.466
1.031,-0.241,-0.691,54.443,-7.874,-60.669,-0.103,-0.9,-0.607,-20.508,21.912,-17.944
