aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.562,-0.691,1.143,-15.503,28.442,-161.926,0.632,0.644,0.93,5.371,4.15,132.568
0.683,-0.436,1.201,-3.418,20.691,-160.034,0.719,0.443,1.097,-15.381,-5.249,122.803
0.781,-0.207,1.248,9.644,11.108,-152.222,0.79,0.208,1.201,-22.644,-7.874,107.849
0.843,0.083,1.283,21.484,4.517,-140.381,0.808,-0.026,1.231,-22.522,-5.432,88.379
0.91,0.373,1.305,32.471,0.061,-129.272,0.765,-0.274,1.25,-20.142,-5.92,71.716
0.945,0.625,1.309,41.809,-3.784,-116.394,0.635,-0.52,1.295,-15.32,-12.024,61.829
0.909,0.875,1.264,46.082,-6.775,-101.44,0.498,-0.792,1.3,-6.104,-14.771,59.448
0.814,1.135,1.192,44.861,-8.118,-87.891,0.399,-1.098,1.239,2.93,-10.376,65.186
0.719,1.318,1.119,42.053,-8.301,-75.867,0.4,-1.359,1.163,4.883,-3.967,77.82
0.634,1.483,1.069,37.903,-5.005,-61.768,0.48,-1.513,1.09,-2.319,-0.427,90.82
0.624,1.545,1.023,34.363,-0.916,-46.997,0.571,-1.595,1.018,-13.672,-0.671,94.299
0.549,1.547,1.055,31.738,-3.662,-39.001,0.637,-1.575,0.965,-27.954,-5.615,85.815
0.474,1.509,1.06,28.015,-9.46,-32.654,0.629,-1.454,0.943,-40.405,-12.512,66.101
0.389,1.516,1.029,21.606,-15.015,-31.067,0.511,-1.324,0.937,-47.791,-16.785,38.269
0.335,1.522,0.971,18.738,-20.02,-29.968,0.37,-1.179,0.947,-49.683,-20.508,12.207
0.286,1.442,0.915,22.034,-22.034,-26.001,0.184,-1.018,0.977,-45.532,-23.621,-8.179
0.258,1.33,0.892,28.259,-21.79,-20.935,-0.008,-0.884,0.998,-34.607,-24.048,-19.775
0.239,1.164,0.91,34.424,-20.935,-12.878,-0.182,-0.783,0.994,-21.606,-23.254,-17.517
0.192,1.007,0.926,35.156,-19.348,-2.869,-0.249,-0.7,0.974,-11.23,-23.132,-2.136
0.143,0.851,0.924,29.785,-17.517,6.897,-0.201,-0.631,0.963,-5.127,-21.973,19.165
0.096,0.71,0.89,20.813,-15.442,14.648,-0.09,-0.552,0.974,-1.709,-19.165,36.743
0.052,0.563,0.845,10.437,-11.658,20.142,0.015,-0.464,0.976,1.831,-16.846,46.753
0.018,0.429,0.811,2.197,-7.568,22.888,0.088,-0.407,0.962,6.653,-15.869,48.95
-0.009,0.3,0.792,-1.77,-6.531,23.132,0.131,-0.366,0.933,12.451,-13.0,44.983
-0.031,0.165,0.779,-1.709,-7.446,21.729,0.162,-0.319,0.888,17.639,-5.066,36.56
-0.043,0.034,0.797,1.221,-9.399,18.372,0.186,-0.269,0.838,20.02,1.831,25.818
-0.034,-0.061,0.83,5.737,-10.071,15.686,0.173,-0.229,0.816,18.188,3.113,15.259
-0.031,-0.155,0.884,9.155,-13.611,13.0,0.142,-0.182,0.814,13.855,0.244,7.385
-0.046,-0.238,0.922,9.155,-19.47,9.094,0.111,-0.15,0.81,9.521,0.122,2.258
-0.047,-0.273,0.921,3.906,-18.25,5.615,0.089,-0.124,0.784,6.714,4.15,0.061
-0.045,-0.271,0.896,-2.625,-13.428,2.441,0.092,-0.076,0.722,4.944,8.85,1.404
-0.041,-0.257,0.872,-7.629,-8.911,-0.732,0.098,-0.049,0.682,2.686,10.254,4.028
-0.041,-0.252,0.873,-10.437,-6.226,-3.052,0.093,-0.01,0.67,-3.784,7.568,7.446
-0.023,-0.24,0.878,-11.597,-5.493,-4.639,0.089,0.052,0.72,-13.428,0.427,11.047
0.007,-0.215,0.886,-12.024,-3.296,-5.92,0.067,0.106,0.815,-21.423,-5.981,13.55
0.036,-0.189,0.889,-10.925,0.061,-5.859,0.087,0.132,0.89,-23.682,-8.484,14.465
0.056,-0.166,0.901,-8.362,1.953,-4.456,0.107,0.149,0.958,-22.156,-8.789,13.245
0.059,-0.164,0.922,-5.371,2.563,-2.747,0.115,0.147,1.024,-17.883,-8.118,9.644
0.057,-0.146,0.939,-3.784,3.601,-0.671,0.102,0.131,1.071,-10.437,-5.127,5.371
0.057,-0.132,0.95,-3.479,5.066,0.732,0.075,0.111,1.097,-1.16,-0.916,1.953
0.054,-0.12,0.953,-4.211,7.324,1.77,0.096,0.075,1.081,7.385,5.005,-0.244
0.056,-0.115,0.948,-4.211,9.583,2.502,0.098,0.051,1.051,11.719,9.277,-1.038
0.054,-0.123,0.949,-2.625,10.376,2.93,0.093,0.04,1.055,11.353,8.972,-1.648
0.039,-0.133,0.958,0.0,9.949,3.052,0.078,0.042,1.045,9.644,8.423,-2.014
0.029,-0.14,0.969,3.784,8.545,2.502,0.079,0.04,1.031,8.362,8.728,-2.136
0.029,-0.148,0.98,8.118,5.798,1.892,0.077,0.041,1.022,7.141,7.69,-2.014
