aX,aY,aZ,gX,gY,gZ
0.038,0.053,1.005,-2.197,2.014,-4.883
0.035,0.053,1.016,-2.747,0.977,-5.859
0.030,0.056,1.015,-2.319,1.770,-5.981
0.026,0.053,1.006,-1.099,3.113,-5.066
0.028,0.052,1.007,-0.366,3.540,-3.845
0.032,0.056,1.008,0.244,4.089,-2.625
0.036,0.059,1.006,1.526,4.578,-2.136
0.033,0.056,0.999,3.235,5.066,-1.953
0.028,0.045,0.994,4.456,4.944,-1.770
0.023,0.029,0.985,5.127,5.005,-0.793
0.028,0.016,0.976,5.371,5.493,0.305
0.033,0.005,0.969,5.066,5.432,0.977
0.035,-0.010,0.961,4.578,5.249,1.160
0.038,-0.023,0.957,3.662,5.188,1.038
0.048,-0.021,0.954,2.075,4.822,0.916
0.047,-0.020,0.954,0.000,4.578,-0.305
0.035,-0.012,0.959,-2.014,3.967,-1.709
0.023,-0.006,0.971,-3.662,3.357,-2.014
0.014,0.001,0.984,-4.150,2.747,-1.465
0.019,0.009,0.995,-4.089,2.380,-0.305
0.022,0.010,0.997,-3.418,2.136,0.793
0.024,-0.003,1.000,-2.441,1.099,1.587
0.022,-0.006,1.001,-2.502,0.183,2.197
0.026,-0.011,0.997,-2.563,0.122,3.052
0.031,-0.011,0.993,-2.625,0.732,3.540
0.045,-0.002,0.993,-2.930,0.671,3.479
0.048,0.002,0.992,-3.296,0.000,2.686
0.040,0.008,0.988,-3.601,-0.977,1.709
0.035,0.004,0.989,-3.418,-1.526,0.488
0.026,0.004,0.984,-2.930,-1.160,-0.244
0.022,0.002,0.979,-2.319,-0.916,-0.122
0.019,-0.001,0.970,-1.648,-0.305,0.427
0.024,-0.001,0.961,-1.282,0.610,0.977
0.034,-0.005,0.955,-1.892,1.404,1.587
0.038,0.001,0.959,-3.601,1.709,2.197
0.039,0.013,0.968,-4.883,1.404,2.319
0.041,0.023,0.979,-5.737,1.099,2.258
0.045,0.028,0.985,-5.859,0.854,2.197
0.042,0.032,0.989,-5.066,0.488,2.319
0.043,0.028,0.982,-3.845,0.427,2.686
0.043,0.024,0.977,-2.258,0.488,2.869
0.045,0.018,0.973,-0.732,0.366,2.808
0.040,0.015,0.966,0.549,0.488,2.625
0.041,0.012,0.959,1.526,0.916,2.258
0.042,0.012,0.955,1.038,0.977,1.953
0.040,0.016,0.959,-0.671,0.488,2.197
0.036,0.020,0.967,-2.014,-0.122,2.136
0.035,0.017,0.977,-2.747,-0.305,2.075
0.033,0.017,0.984,-2.502,-0.366,2.319
0.037,0.014,0.995,-1.831,-0.366,2.686
0.043,0.015,0.997,-0.549,-0.061,2.441
0.043,0.011,0.989,0.977,0.610,2.075
0.038,0.007,0.983,1.953,0.671,1.221
0.034,0.015,0.975,2.319,0.427,0.854
0.365,-1.324,1.040,-4.761,12.390,-78.735
0.470,-1.278,1.096,1.892,16.174,-88.013
0.585,-1.185,1.123,10.376,21.729,-98.022
0.759,-1.006,1.147,18.982,26.917,-113.037
0.929,-0.794,1.127,25.391,33.081,-133.545
0.982,-0.580,1.102,26.550,37.842,-157.410
0.926,-0.292,1.074,21.423,36.072,-176.758
0.874,0.047,1.115,10.010,25.269,-186.279
0.791,0.461,1.196,-3.296,11.780,-188.599
0.602,0.855,1.288,-12.390,-1.160,-182.983
0.410,1.217,1.430,-16.663,-14.404,-165.649
0.323,1.566,1.594,-17.395,-23.987,-140.808
0.249,1.839,1.762,-10.193,-26.184,-116.882
0.145,2.000,1.846,10.986,-23.376,-96.619
0.074,2.082,1.781,47.729,-16.968,-78.247
0.613,3.729,-1.287,-3.601,-33.081,-60.852
-2.834,2.017,1.327,-249.573,-140.137,20.142
