aX,aY,aZ,gX,gY,gZ
0.112,-0.038,1.119,1.282,30.457,-29.175
0.104,0.081,1.090,7.996,26.367,-47.974
0.146,0.178,1.088,24.902,21.912,-63.965
0.178,0.246,1.120,46.875,20.142,-75.500
0.158,0.282,1.206,66.406,18.677,-83.069
0.161,0.306,1.278,77.271,19.226,-87.463
0.188,0.347,1.330,77.759,21.973,-90.820
0.194,0.426,1.362,71.289,23.621,-92.529
0.186,0.497,1.383,62.317,21.729,-92.468
0.186,0.541,1.384,51.392,18.311,-90.698
0.175,0.576,1.370,39.001,15.259,-87.463
0.137,0.624,1.335,27.222,12.756,-84.167
0.107,0.668,1.284,18.494,10.132,-82.275
0.087,0.687,1.233,14.648,5.066,-81.360
0.062,0.685,1.187,14.648,-0.916,-80.322
0.041,0.673,1.143,16.174,-6.531,-78.918
0.021,0.642,1.109,16.785,-11.902,-76.355
0.007,0.608,1.066,16.174,-16.907,-71.899
-0.004,0.589,1.007,14.221,-19.775,-67.261
-0.020,0.564,0.956,13.733,-21.729,-62.561
-0.025,0.512,0.932,14.404,-23.193,-57.617
-0.008,0.440,0.908,12.939,-23.437,-52.490
0.001,0.386,0.871,8.118,-22.888,-46.631
