aX,aY,aZ,gX,gY,gZ
0.334,0.362,-0.882,6.897,-0.977,3.723
0.336,0.388,-0.880,5.066,-1.221,4.578
0.347,0.411,-0.897,3.540,-1.831,3.540
0.349,0.409,-0.897,3.235,-3.052,1.343
0.350,0.411,-0.896,3.906,-4.700,-0.122
0.343,0.405,-0.896,5.310,-5.859,-1.099
0.334,0.396,-0.887,5.981,-7.568,-1.953
0.333,0.389,-0.876,6.287,-9.460,-2.380
0.334,0.385,-0.864,6.714,-10.254,-2.197
0.336,0.373,-0.853,6.958,-9.338,-1.343
0.341,0.364,-0.844,7.141,-7.690,0.000
0.341,0.363,-0.836,6.897,-6.104,1.160
0.346,0.367,-0.829,6.165,-4.517,2.563
0.355,0.380,-0.828,4.700,-3.113,3.784
0.365,0.387,-0.841,3.174,-2.075,4.089
0.369,0.389,-0.854,1.953,-1.648,3.845
0.363,0.387,-0.862,1.587,-1.709,3.540
0.352,0.394,-0.865,1.160,-2.319,2.991
0.341,0.396,-0.868,1.221,-2.563,2.869
0.336,0.406,-0.869,1.709,-2.563,2.563
0.337,0.404,-0.869,2.869,-2.014,1.831
0.337,0.395,-0.872,3.662,-1.343,1.038
0.343,0.386,-0.866,3.723,-1.099,0.916
0.345,0.380,-0.864,3.113,-0.916,1.221
0.348,0.382,-0.864,2.197,-0.122,2.258
0.350,0.392,-0.868,1.038,0.244,2.869
0.352,0.389,-0.871,0.061,0.061,2.747
0.354,0.391,-0.869,-0.427,-0.549,2.808
0.352,0.395,-0.864,-0.854,-0.916,2.441
0.349,0.394,-0.857,-0.916,-1.221,2.197
1.874,-0.558,1.673,42.786,95.154,-19.531
2.068,-0.833,1.935,18.311,130.249,-23.315
2.218,-1.044,1.968,-38.208,157.227,-18.005
2.307,-1.058,1.997,-117.310,166.565,1.343
2.236,-0.804,1.865,-186.462,168.274,27.039
2.047,-0.513,1.702,-221.924,163.574,57.068
1.779,-0.374,1.555,-228.455,161.743,80.017
1.575,-0.379,1.281,-223.816,175.476,96.375
1.385,-0.513,0.987,-213.928,198.486,109.192
1.090,-0.596,0.734,-205.872,201.599,120.605
0.753,-0.645,0.529,-206.360,198.853,129.028
0.330,-0.653,0.334,-219.116,196.716,131.226
-0.160,-0.605,0.077,-238.586,195.801,127.563
-0.628,-0.519,-0.278,-255.920,200.867,130.127
-1.047,-0.282,-0.914,-260.742,215.393,140.747
-1.358,0.043,-1.564,-256.409,230.469,144.714
-1.271,0.206,-2.196,-232.788,244.202,136.292
-0.937,0.323,-2.538,-187.073,237.854,125.366
-0.710,0.401,-2.569,-141.174,200.745,123.352
-0.764,0.417,-2.379,-110.168,148.010,124.390
-1.308,0.884,-2.108,-89.783,105.713,119.263
-0.792,0.460,-2.018,-57.678,106.812,93.140
-1.517,0.540,-1.824,-50.476,120.117,13.123
-1.170,0.470,-1.901,-42.542,153.625,-2.563
-0.978,0.433,-1.850,-36.804,178.711,-1.526
-1.001,0.405,-1.933,-24.353,181.702,-12.024
-0.824,0.335,-1.991,-11.047,168.152,-31.372
-0.716,0.328,-1.897,-4.578,144.470,-40.955
-0.497,0.382,-1.757,-3.052,109.131,-46.204
-0.371,0.399,-1.601,-3.845,68.604,-58.655
-0.232,0.432,-1.449,-5.432,30.884,-70.801
-0.168,0.446,-1.335,-5.127,0.854,-71.899
-0.086,0.409,-1.185,-0.366,-17.151,-70.251
0.026,0.368,-1.011,8.606,-21.851,-70.801
0.190,0.351,-0.857,16.541,-15.503,-70.984
0.381,0.315,-0.743,18.799,-5.310,-73.669
0.404,0.168,-0.751,15.076,3.113,-77.759
0.567,0.129,-0.765,7.690,7.751,-78.674
0.660,0.040,-0.803,-0.488,10.620,-74.341
0.728,0.013,-0.854,-8.057,10.315,-64.026
0.756,0.019,-0.898,-12.451,2.686,-52.856
0.733,0.009,-0.918,-11.841,-5.554,-42.419
0.621,-0.030,-0.921,-7.141,-10.986,-32.104
0.619,0.028,-0.918,-1.099,-9.827,-22.278
0.649,0.109,-0.905,6.531,-6.348,-15.320
0.618,0.112,-0.907,13.794,-0.488,-9.644
0.576,0.121,-0.896,19.165,6.287,-4.333
0.524,0.149,-0.895,20.691,10.498,-2.136
0.469,0.182,-0.907,18.188,10.803,-3.479
0.424,0.212,-0.939,13.184,8.545,-6.531
0.408,0.208,-0.943,13.550,8.362,-8.057
0.368,0.228,-0.959,12.024,2.869,-7.629
0.344,0.230,-0.974,5.188,-9.155,-7.996
0.346,0.257,-0.973,4.883,-14.771,-5.676
0.316,0.253,-0.967,11.780,-17.151,-2.747
0.342,0.210,-0.951,19.836,-20.569,-1.831
0.355,0.193,-0.928,26.367,-22.217,0.061
0.341,0.201,-0.898,28.748,-23.010,1.770
0.321,0.217,-0.870,25.574,-25.635,1.038
0.311,0.245,-0.860,16.174,-29.541,-1.831
0.327,0.289,-0.855,6.653,-31.555,-4.517
0.351,0.321,-0.852,-0.854,-32.654,-7.629
0.397,0.333,-0.853,-5.310,-33.142,-10.132
0.451,0.341,-0.841,-7.935,-32.166,-10.681
0.476,0.355,-0.828,-7.629,-30.640,-9.216
0.471,0.347,-0.809,-4.456,-28.198,-8.545
0.471,0.316,-0.785,0.916,-23.865,-9.216
0.469,0.288,-0.770,8.118,-16.113,-8.789
0.463,0.256,-0.768,13.184,-7.996,-7.568
0.457,0.242,-0.778,15.015,-1.831,-6.042
0.464,0.238,-0.792,13.672,2.563,-4.578
0.471,0.235,-0.803,8.484,4.944,-3.601
0.474,0.230,-0.816,1.526,4.700,-3.540
0.483,0.214,-0.828,-5.005,3.845,-2.991
0.486,0.208,-0.852,-9.705,3.296,-1.282
0.483,0.230,-0.890,-12.634,2.991,0.610
0.471,0.247,-0.933,-12.329,2.014,0.732
0.463,0.256,-0.957,-7.935,1.160,0.183
0.464,0.269,-0.963,-0.854,1.770,1.160
0.471,0.281,-0.961,8.301,2.441,2.319
0.477,0.279,-0.949,15.808,2.258,3.174
0.486,0.266,-0.932,19.104,0.671,3.418
0.487,0.240,-0.904,18.250,-1.831,4.028
0.474,0.233,-0.877,14.343,-4.272,5.371
0.453,0.233,-0.862,8.484,-6.409,6.897
0.454,0.244,-0.849,3.113,-7.263,7.202
0.439,0.254,-0.880,0.366,-7.324,7.202
0.465,0.266,-0.871,1.038,-7.446,6.714
0.463,0.263,-0.878,3.540,-9.399,6.287
0.458,0.261,-0.871,6.958,-10.986,6.165
0.460,0.269,-0.849,10.254,-10.803,6.104
0.470,0.272,-0.832,12.634,-10.681,5.371
0.487,0.262,-0.802,13.245,-10.132,4.272
0.495,0.250,-0.781,11.963,-8.240,4.150
0.499,0.259,-0.773,9.277,-5.249,4.639
0.496,0.259,-0.784,6.287,-3.418,4.028
0.472,0.236,-0.780,3.662,-3.113,2.380
0.447,0.241,-0.799,0.793,-2.441,2.136
0.460,0.283,-0.838,-0.549,-2.136,3.296
0.462,0.312,-0.880,0.977,-2.563,3.052
0.464,0.324,-0.894,5.005,-3.418,2.197
0.470,0.315,-0.902,9.827,-4.578,1.526
0.476,0.296,-0.896,14.282,-4.944,1.587
0.485,0.298,-0.886,17.151,-5.188,1.892
0.484,0.286,-0.887,17.761,-6.653,1.465
0.496,0.263,-0.858,16.724,-7.446,0.977
0.481,0.276,-0.860,12.817,-6.653,2.380
0.521,0.326,-0.940,11.047,-4.944,4.089
0.468,0.280,-0.855,18.921,2.197,7.751
0.460,0.323,-0.831,23.560,1.648,5.737
0.448,0.263,-0.828,26.001,3.235,4.150
0.451,0.333,-0.871,22.766,2.441,4.028
0.453,0.295,-0.838,22.095,-0.610,4.150
0.443,0.294,-0.833,17.944,-1.831,3.357
0.461,0.312,-0.842,10.742,-5.005,2.747
0.470,0.335,-0.848,4.883,-8.362,2.686
0.463,0.353,-0.854,2.319,-11.047,2.319
0.458,0.344,-0.852,3.967,-11.658,1.038
0.454,0.330,-0.816,6.104,-10.620,0.183
1.250,0.023,1.307,-44.739,89.172,5.615
1.347,-0.033,1.340,-44.678,113.647,12.146
1.381,-0.062,1.366,-47.302,126.221,14.404
1.357,-0.010,1.358,-59.387,134.521,19.836
1.377,-0.044,1.339,-79.285,140.259,24.353
1.359,-0.167,1.282,-102.722,139.099,25.635
1.313,-0.258,1.208,-126.587,133.179,23.376
1.250,-0.244,1.153,-150.574,126.038,22.949
1.161,-0.136,1.037,-175.354,128.723,25.146
1.106,-0.083,0.849,-186.707,136.902,29.480
1.003,-0.132,0.727,-185.974,144.104,35.522
0.900,-0.193,0.594,-183.777,152.527,41.870
0.791,-0.270,0.481,-177.124,165.344,53.894
0.569,-0.391,0.353,-171.448,179.443,65.186
0.436,-0.427,0.195,-166.626,191.162,68.787
0.255,-0.324,0.011,-162.842,203.308,65.063
0.050,-0.266,-0.291,-158.569,217.529,60.974
-0.082,-0.209,-0.612,-145.813,226.929,60.120
-0.053,-0.156,-0.893,-120.178,227.966,59.692
0.047,-0.239,-1.270,-87.280,204.102,62.561
0.055,-0.290,-1.600,-67.505,163.391,64.819
0.055,-0.261,-1.763,-64.148,130.005,67.017
-0.261,-0.035,-1.701,-76.965,101.257,72.449
-0.567,0.210,-1.678,-86.060,82.764,75.562
-1.383,0.853,-2.072,-79.224,93.628,68.054
-0.345,0.455,-1.956,-64.148,173.767,58.167
-0.899,0.858,-2.297,-32.349,207.764,-9.216
-0.630,0.891,-2.433,-8.240,252.808,-39.063
-0.145,0.830,-2.032,14.526,287.598,-48.462
-0.235,0.679,-1.874,29.297,235.657,-38.269
-0.274,0.589,-1.853,38.391,171.692,-38.208
-0.258,0.528,-1.728,36.621,132.202,-43.518
-0.248,0.535,-1.530,29.297,110.718,-43.213
-0.242,0.570,-1.388,23.437,94.238,-50.720
-0.314,0.527,-1.345,17.517,77.820,-65.308
-0.155,0.424,-1.393,7.812,66.650,-83.984
0.074,0.265,-1.343,3.967,61.035,-101.501
0.284,0.031,-1.336,13.672,51.697,-109.131
0.531,-0.251,-1.342,31.311,45.166,-109.924
0.769,-0.437,-1.318,49.927,43.640,-101.257
1.012,-0.495,-1.342,70.313,37.720,-75.928
1.098,-0.368,-1.273,85.999,20.569,-39.001
0.977,-0.124,-1.106,85.815,-10.681,-3.967
0.752,0.138,-0.906,69.763,-46.814,18.738
0.474,0.429,-0.716,41.992,-75.806,25.635
0.325,0.698,-0.523,15.564,-86.975,18.250
0.298,0.849,-0.430,4.333,-79.834,3.540
0.324,0.839,-0.414,10.437,-55.359,-11.841
0.366,0.677,-0.480,26.489,-21.423,-24.536
0.435,0.461,-0.577,42.236,10.681,-31.372
