aX,aY,aZ,gX,gY,gZ
0.811,-1.091,1.119,-13.550,-11.780,9.644
0.803,-1.090,1.394,-9.277,-12.146,16.174
0.762,-0.961,1.656,-0.183,-12.268,23.987
0.734,-0.781,1.840,14.832,-3.540,33.569
0.791,-0.603,1.977,36.316,18.555,42.786
0.884,-0.367,2.046,60.364,46.570,46.570
1.026,-0.071,2.039,85.754,74.280,44.250
1.237,0.298,1.934,113.159,98.633,40.405
1.503,0.682,1.729,143.127,120.911,34.485
1.777,1.035,1.414,174.744,141.541,21.851
2.057,1.289,1.038,205.017,158.752,-6.104
2.172,1.448,0.520,232.178,160.461,-50.964
2.075,1.539,0.001,255.066,150.269,-99.854
1.890,1.498,-0.594,275.330,148.071,-139.587
1.676,1.440,-1.104,285.522,163.818,-166.870
1.483,1.345,-1.681,281.921,178.284,-178.101
1.369,1.078,-1.999,266.541,186.646,-182.495
1.118,0.911,-2.282,240.662,163.757,-195.129
0.808,0.755,-2.410,212.463,119.080,-206.543
0.509,0.553,-2.366,184.448,68.359,-208.740
0.313,0.480,-2.296,156.799,24.841,-205.139
0.007,0.306,-2.153,142.639,-10.681,-197.327
-0.233,0.154,-2.031,134.521,-43.396,-184.570
-0.460,0.036,-2.035,121.887,-61.096,-169.678
-0.513,-0.088,-2.071,108.582,-56.335,-149.902
-0.427,-0.188,-2.034,91.248,-44.922,-127.380
-0.309,-0.191,-1.894,70.801,-43.091,-108.582
-0.249,-0.167,-1.708,56.213,-56.274,-95.764
-0.219,-0.203,-1.507,51.147,-78.125,-87.036
-0.207,-0.266,-1.322,49.744,-99.121,-79.590
-0.205,-0.366,-1.158,45.837,-111.023,-71.777
-0.161,-0.465,-1.021,38.147,-111.572,-62.683
-0.092,-0.525,-0.932,30.029,-99.365,-54.565
-0.001,-0.577,-0.879,23.926,-76.965,-46.814
0.110,-0.627,-0.838,18.677,-52.856,-39.246
0.237,-0.639,-0.783,13.916,-34.851,-32.959
0.349,-0.623,-0.741,10.620,-24.719,-27.405
0.422,-0.624,-0.679,12.939,-24.536,-23.376
0.468,-0.654,-0.624,17.151,-30.579,-21.912
0.467,-0.670,-0.564,18.921,-35.461,-21.423
0.462,-0.666,-0.516,17.944,-34.241,-19.653
0.480,-0.624,-0.492,16.785,-25.940,-16.907
0.498,-0.581,-0.518,16.968,-12.146,-14.282
0.527,-0.555,-0.565,16.968,1.831,-12.146
0.555,-0.526,-0.615,16.113,12.024,-10.498
0.582,-0.504,-0.649,15.381,16.418,-8.911
0.606,-0.497,-0.668,15.869,15.137,-7.507
0.614,-0.489,-0.672,18.311,9.277,-5.615
0.607,-0.473,-0.668,21.973,1.099,-3.296
0.594,-0.443,-0.676,25.269,-4.639,-0.977
0.591,-0.426,-0.693,27.222,-5.859,1.221
0.588,-0.410,-0.716,26.917,-3.723,2.136
0.587,-0.417,-0.731,23.743,0.183,0.610
0.571,-0.461,-0.734,19.897,4.517,-2.625
0.535,-0.505,-0.721,14.832,9.155,-6.287
0.509,-0.552,-0.696,9.705,13.916,-8.667
0.492,-0.585,-0.666,6.592,17.761,-8.423
0.481,-0.586,-0.651,5.432,19.104,-6.226
0.494,-0.573,-0.647,5.737,20.386,-2.686
0.527,-0.548,-0.653,7.568,21.484,1.404
0.556,-0.518,-0.664,8.972,21.301,4.456
0.584,-0.496,-0.673,9.644,20.447,5.981
0.606,-0.481,-0.681,9.583,18.738,5.432
0.605,-0.494,-0.696,9.216,16.296,2.991
0.583,-0.519,-0.712,7.874,13.794,0.183
0.552,-0.535,-0.725,6.104,12.268,-1.221
